Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
,Area weighted total,,,,83,5,-,18,-,-
30,2/10/2019,3.3,Ammo 31,142,43,-,-,20,-,-
,27/10/2019,3.4,Urea,97,44,-,-,-,-,-
,4/11/2019,2.6,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,25/11/2019,3.2,DAP,30,5,6,-,-,-,-
,8/01/2020,3.5,Urea,162,75,-,-,-,-,-
,9/04/2020,3.3,Urea,104,48,-,-,-,-,-
,14/08/2020,3.4,Ammo 31,122,37,-,-,17,-,-
,Area weighted total,,,,253,6,-,35,-,-
31,24/10/2019,3.5,Urea,108,50,-,-,-,-,-
,4/11/2019,3.6,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,2/12/2019,3.1,DAP,25,4,5,-,-,-,-
,10/01/2020,3.5,DAP,33,6,7,-,-,-,-
,3/09/2020,3.5,Ammo 31,118,36,-,-,16,-,-
,Area weighted total,,,,109,11,-,16,-,-
3A,24/10/2019,4.5,Urea,112,52,-,-,-,-,-
,26/11/2019,4.1,DAP,38,7,8,-,-,-,-
,10/02/2020,3.8,Urea,36,17,-,-,-,-,-
,27/03/2020,4.2,Urea,98,45,-,-,-,-,-
,Area weighted total,,,,93,6,-,-,-,-
3G,5/11/2019,6.7,Urea,92,42,-,-,-,-,-
,2/12/2019,6.7,DAP,283,50,57,-,3,-,-
,15/01/2020,6.6,Urea,32,15,-,-,-,-,-
,10/02/2020,6.4,Urea,33,15,-,-,-,-,-
,27/03/2020,6.4,Urea,89,41,-,-,-,-,-
,3/09/2020,6.8,Ammo 31,114,35,-,-,16,-,-
,Area weighted total,,,,185,53,-,18,-,-
4,29/11/2019,4.2,DAP,25,4,5,-,-,-,-
,30/12/2019,4.7,Urea,30,14,-,-,-,-,-
,6/02/2020,4.2,Urea,33,15,-,-,-,-,-
,9/04/2020,4.7,Urea,99,46,-,-,-,-,-
,23/06/2020,4.7,Urea,110,50,-,-,-,-,-
,23/06/2020,4.7,Urea,84,39,-,-,-,-,-
,12/08/2020,4.7,Ammo 31,118,36,-,-,16,-,-
,13/08/2020,4.6,Scottys Fert Mix,473 kg/ha,28,32,105,96,-,-
,Area weighted total,,,,224,34,100,107,-,-
,11/10/2019,9.8,Urea,96,44,-,-,-,-,-
,4/11/2019,9.9,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,9.9,Urea,91,42,-,-,-,-,-
,9/12/2019,9.9,DAP,204,36,41,-,2,-,-
,31/12/2019,9.7,AG LIME,1727,-,-,-,-,622,-
,3/09/2020,10,Ammo 31,116,35,-,-,16,-,-
,Area weighted total,,,,169,40,-,18,596,-
4G,2/10/2019,6.8,Ammo 31,141,43,-,-,19,-,-
,27/10/2019,7.1,Urea,91,42,-,-,-,-,-
,2/12/2019,6.5,DAP,24,4,5,-,-,-,-
,15/01/2020,7,Urea,35,16,-,-,-,-,-
,28/01/2020,0.1,Urea,27,13,-,-,-,-,-
,10/02/2020,6.6,Urea,32,15,-,-,-,-,-
,27/03/2020,6.8,Urea,87,40,-,-,-,-,-
,3/09/2020,7.1,Ammo 31,117,36,-,-,16,-,-
,Area weighted total,,,,189,4,-,35,-,-
5,2/10/2019,9.4,Ammo 31,138,42,-,-,19,-,-
,24/10/2019,9.5,Urea,108,50,-,-,-,-,-
,4/11/2019,9.5,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,22/11/2019,5.4,Ag Lime,15,-,-,-,-,5,-
,31/12/2019,9,DAP,210,37,42,-,2,-,-
,20/08/2020,9.4,Ammo 31,119,36,-,-,16,-,-
